source_id,teff_gspphot,logg_gspphot,mh_gspphot
1328056359540120704,,,
1328032582601038976,,,
1328032582607776000,,,
1328033819554375936,,,
1328034025720537216,,,
1328053198451691264,,,
1328053198451938176,,,
1328053473328771968,,,
1328053473330270592,,,
1328053576400383232,,,
1328053576400394880,,,
1328053576400396800,,,
1328053576406311168,,,
1328053576406312960,,,
1328053748199323776,,,
1328053748208229888,,,
1328055328747074944,,,
1328055363115954432,,,
1328055328747075072,,,
1328055363107122304,,,
1328055363107122560,,,
1328055397466810496,,,
1328055397474266240,,,
1328055397474506240,,,
1328055397474506496,,,
1328055397474507008,,,
1328055397474507520,,,
1328055397474621952,,,
1328056325180248832,,,
1328056325180261504,,,
1328056325180272000,,,
1328056325180272128,,,
1328056325180272256,,,
1328056325186480896,,,
1328056325186481920,,,
1328056462625412096,,,
1328056531339343232,,,
1328056565698829056,,,
1328015952495918336,6207.889,4.6377,-1.1968
1328016227372273664,,,
1328016291790211328,6280.13,4.5448,-2.3464
1328016291790215168,3480.1147,4.9115,-0.3862
1328016291790215296,,,
1328016291792793216,,,
1328016296092360960,,,
1328016296093298816,5389.6934,4.7612,-2.4494
1328016326149958144,,,
1328016360509697280,,,
1328016360509704448,,,
1328016364803514496,,,
1328016364812778496,,,
1328016394869432704,,,
1328016394869440384,,,
1328016399172513536,6251.641,4.6827,-2.6918
1328016429229182976,,,
1328016429229189376,,,
1328016463588928128,,,
1328016463588939392,6180.4404,4.6956,-2.1787
1328016497948686464,5193.6587,4.7017,-0.6607
1328016502251436544,,,
1328028695655790848,,,
1328027149467547904,,,
1328027218187028992,6110.97,4.6813,-1.4595
1328027218187036288,,,
1328027218187042304,,,
1328027222491454080,5432.4272,4.3926,-1.5923
1328027222491454592,,,
1328027389985727488,,,
1328027424345463936,,,
1328027424345464960,,,
1328027424345466624,,,
1328027424345471360,,,
1328027424345481984,,,
1328027428650946048,,,
1328027458705210496,,,
1328027458705212032,,,
1328027458705220736,,,
1328027493064956800,3556.7163,4.4846,-0.7916
1328027493064960128,,,
1328027493064963584,4593.5127,4.7159,-0.5977
1328027493064970112,,,
1328027634804799232,,,
1328027699223347200,,,
1328027699223353600,,,
1328027699225839104,,,
1328027733583088256,,,
1328027733583088384,6109.84,4.6683,-2.2975
1328027733583089280,,,
1328027733583092096,,,
1328027733583097472,,,
1328027733585521792,,,
1328027737876955904,,,
1328027737886185472,4215.2593,4.3295,-0.0897
1328027737886189952,,,
1328027737887857792,,,
1328027767942840448,,,
1328027836662305920,,,
1328027905381800448,,,
1328027905381801984,,,
1328027905381806976,6289.076,4.638,-2.491
1328027974101282432,5543.8335,4.58,-0.2552
1328027974101287168,,,
1328027974101287424,4667.974,4.7056,-0.7107
1328027974101289856,,,
1328027974103687680,,,
1328027978402791680,,,
1328027978404360320,5530.653,4.3618,-0.8613
1328028008461022592,,,
1328028008461029760,,,
1328028012754882944,,,
1328028012764113280,5633.709,3.8724,-0.5278
1328028012765438720,,,
1328028042820765312,,,
1328028145899977728,,,
1328028145899981952,,,
1328028150203049728,5478.847,4.6623,-0.5085
1328028180259726720,4135.1597,4.8849,-1.2402
1328028180259727744,,,
1328028180259729920,,,
1328028180259732736,,,
1328028180259735552,,,
1328028180259740032,,,
1328028180262193152,,,
1328028214619467392,6244.479,4.6206,-1.0181
1328028214621995904,,,
1328028248979220224,,,
1328028253284316160,,,
1328028283338946816,,,
1328028283338950400,,,
1328028283338960512,,,
1328028317698697600,6077.2036,4.6821,-3.2673
1328028317698702336,,,
1328028317698710144,,,
1328028352058413312,,,
1328028352058421376,,,
1328028352058425216,,,
1328028386418173440,,,
1328028386418179712,,,
1328028420777921920,,,
1328028425080966656,,,
1328028425080975104,5041.668,4.7074,-0.7183
1328028455137659264,,,
1328028455137663872,,,
1328028455137664896,,,
1328028489497390080,,,
1328028489497393920,6381.483,4.604,-3.2742
1328028489497396224,,,
1328028489497398016,,,
1328028489497405696,,,
1328028489497410816,6227.154,4.6866,-2.2815
1328028489497414016,,,
1328028489499842176,,,
1328028493800437888,,,
1328028493800441600,5475.651,4.432,-0.5401
1328028523857147008,,,
1328028523857149440,,,
1328028523857162752,,,
1328028528160176896,,,
1328028558216895744,,,
1328028562519921280,5327.7773,4.5796,-0.304
1328028562519928448,,,
1328028592576642944,,,
1328028699960205568,4822.9937,4.5276,-0.2653
1328028592576645760,,,
1328028592576647296,,,
1328028592576650496,6134.792,4.6992,-2.4276
1328028592576650624,,,
1328028596870446720,,,
1328028596877532928,,,
1328028596877535488,,,
1328028596879659264,6058.9155,4.4578,-1.0158
1328028626936304512,,,
1328028631240727808,5596.8467,4.6598,-1.4136
