source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
1328056359540120704,20.354422,,,,,
1328032582601038976,21.099108,20.982569,20.743792,0.23877716,-0.116539,0.35531616
1328032582607776000,21.052252,21.373884,22.453583,-1.0796986,0.3216324,-1.401331
1328033819554375936,20.978077,,,,,
1328034025720537216,19.720556,,,,,
1328053198451691264,20.954699,21.037994,20.370876,0.6671181,0.08329582,0.58382225
1328053198451938176,21.020016,21.278978,20.583971,0.6950073,0.25896263,0.4360447
1328053473328771968,20.969475,20.513538,20.610052,-0.09651375,-0.45593643,0.35942268
1328053473330270592,19.035872,,,,,
1328053576400383232,20.424938,,,,,
1328053576400394880,18.855488,,,,,
1328053576400396800,21.03374,,,,,
1328053576406311168,20.898163,21.67613,20.663675,1.012455,0.77796745,0.23448753
1328053576406312960,21.07785,21.229057,20.540644,0.6884136,0.15120697,0.53720665
1328053748199323776,19.970913,,,,,
1328053748208229888,20.063858,19.766571,18.712269,1.0543022,-0.297287,1.3515892
1328055328747074944,19.78443,,,,,
1328055363115954432,19.525572,18.752304,18.12539,0.626915,-0.77326775,1.4001827
1328055328747075072,19.887035,,,,,
1328055363107122304,20.358469,,,,,
1328055363107122560,20.848066,,,,,
1328055397466810496,20.90073,,,,,
1328055397474266240,21.018356,21.176292,21.23575,-0.05945778,0.1579361,-0.21739388
1328055397474506240,20.955738,,,,,
1328055397474506496,20.803696,21.339813,19.95072,1.3890934,0.53611755,0.85297585
1328055397474507008,20.681206,,,,,
1328055397474507520,20.557999,,,,,
1328055397474621952,21.01021,21.313555,21.064781,0.24877357,0.30334473,-0.05457115
1328056325180248832,21.484034,20.918627,20.748365,0.17026138,-0.5654068,0.7356682
1328056325180261504,20.881392,,,,,
1328056325180272000,20.109667,,,,,
1328056325180272128,19.918814,,,,,
1328056325180272256,20.52811,,,,,
1328056325186480896,20.670475,,,,,
1328056325186481920,20.950148,,,,,
1328056462625412096,20.703278,,,,,
1328056531339343232,20.416075,,,,,
1328056565698829056,20.266119,,,,,
1328015952495918336,18.568369,18.82782,18.171251,0.6565685,0.2594509,0.3971176
1328016227372273664,20.93368,20.265614,19.933765,0.33184814,-0.668066,0.99991417
1328016291790211328,18.337643,18.570417,17.943083,0.6273346,0.23277473,0.39455986
1328016291790215168,18.779627,20.045452,17.64522,2.4002323,1.2658253,1.134407
1328016291790215296,19.617273,20.147408,19.014566,1.1328411,0.5301342,0.6027069
1328016291792793216,20.015726,20.307499,19.619003,0.68849564,0.29177284,0.3967228
1328016296092360960,21.199718,21.338327,20.68509,0.6532383,0.13860893,0.51462936
1328016296093298816,17.718287,18.07183,17.181507,0.89032364,0.35354424,0.5367794
1328016326149958144,20.329771,20.632704,19.718596,0.9141083,0.30293274,0.61117554
1328016360509697280,20.459974,20.771364,19.97432,0.79704475,0.31138992,0.48565483
1328016360509704448,19.755596,20.12479,19.342474,0.7823162,0.36919403,0.41312218
1328016364803514496,19.538942,20.42758,17.749397,2.6781826,0.88863754,1.789545
1328016364812778496,19.807041,,,,,
1328016394869432704,20.923306,21.127586,20.120897,1.0066891,0.20428085,0.8024082
1328016394869440384,20.49047,21.098549,19.893946,1.2046032,0.608078,0.5965252
1328016399172513536,18.576202,18.844015,18.188326,0.65568924,0.26781273,0.3878765
