source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
1360216177003958016,20.156826,20.25759,19.630522,0.62706757,0.10076332,0.52630424
1360216181298779008,20.093876,20.259344,19.63154,0.6278038,0.16546822,0.4623356
1360216181298781440,19.91823,20.230137,19.65991,0.57022667,0.3119068,0.25831985
1360216245723434112,20.653898,21.140842,20.36279,0.7780533,0.4869442,0.29110909
1360216245723434240,20.555655,20.93018,20.20097,0.7292099,0.37452507,0.35468483
1360216245723436288,16.413635,16.374834,16.507523,-0.13268852,-0.038801193,-0.09388733
1360216245723443712,18.19954,18.455496,17.83088,0.6246166,0.25595665,0.36865997
1360216245723444096,20.041698,20.510202,19.635994,0.87420845,0.46850395,0.4057045
1360216245727790848,21.026999,20.862568,20.494024,0.36854362,-0.16443062,0.53297424
1360216245728948352,18.790009,18.96524,18.335146,0.6300945,0.17523193,0.4548626
1360216250018269056,20.939873,20.974289,19.976597,0.9976921,0.0344162,0.9632759
1360216250018269952,20.48928,20.879164,20.114632,0.7645321,0.38988304,0.37464905
1360216250018271360,18.472971,18.223818,17.446917,0.77690125,-0.24915314,1.0260544
1360216250018273920,20.522446,,,,,
1360216250018274048,19.895563,19.826536,19.18525,0.64128685,-0.06902695,0.7103138
1360216250018274304,19.569845,19.62805,18.887989,0.7400608,0.05820465,0.68185616
1360216250018275840,19.447712,,,,,
1360216250018277632,19.720709,19.934387,19.265638,0.66874886,0.21367836,0.4550705
1360216250018735104,21.070494,21.152472,21.5917,-0.43922806,0.081977844,-0.5212059
1360216250019646720,19.047598,19.32853,18.668348,0.66018105,0.28093147,0.37924957
1360216250019649408,13.795715,14.240856,13.180694,1.0601625,0.44514084,0.6150217
1360216250019650048,17.404375,17.73197,16.870697,0.8612728,0.32759476,0.53367805
1360216250019650176,20.301357,20.653349,19.940247,0.71310234,0.35199165,0.3611107
1360216250019650304,16.596073,16.96056,16.04206,0.918499,0.3644867,0.5540123
1360216250019650432,17.535757,17.718925,16.914282,0.80464363,0.18316841,0.6214752
1360216250020153728,19.032204,19.22912,18.615292,0.61382866,0.19691658,0.41691208
1360216383162388352,18.554996,18.790224,18.214813,0.57541084,0.23522758,0.34018326
1360216383162388992,20.176512,20.379818,19.77707,0.6027489,0.2033062,0.39944267
1360216383162392192,19.871597,20.21696,19.478067,0.7388935,0.34536362,0.3935299
1360216383162594688,19.278393,19.469858,18.826391,0.64346695,0.19146538,0.45200157
1360216383162594944,19.390554,19.669836,19.065025,0.6048107,0.27928162,0.3255291
1360216383162596352,19.550108,19.764246,19.131039,0.6332073,0.21413803,0.4190693
1360216387457158400,19.760115,20.031492,19.408651,0.6228409,0.27137756,0.35146332
1360216387457160192,20.275877,20.623638,19.756855,0.86678314,0.34776115,0.519022
1360216387457160320,19.74768,,,,,
1360216387457163904,19.995834,20.375046,19.567123,0.80792236,0.37921143,0.42871094
1360216387457164160,20.760937,20.4689,19.822939,0.64596176,-0.29203606,0.9379978
1360216387457170304,20.530985,20.717701,20.275524,0.44217682,0.18671608,0.25546074
1360216387458582016,18.433262,18.668276,18.076038,0.5922375,0.23501396,0.3572235
1360216387458583424,17.825918,18.748896,16.642729,2.1061668,0.92297745,1.1831894
1360216387458584192,16.410307,16.778263,15.864784,0.91347885,0.36795616,0.5455227
1360216387458584832,15.953581,16.33236,15.389493,0.9428663,0.37877846,0.56408787
1360216387458684032,20.764853,20.814346,20.212896,0.60144997,0.04949379,0.5519562
1360216451881883904,19.831678,20.185984,19.5038,0.6821842,0.35430527,0.32787895
1360216451882226560,20.51691,21.053434,20.296936,0.75649834,0.5365238,0.21997452
1360216456177336960,21.001835,21.56417,19.984522,1.579649,0.56233597,1.017313
1360216486241606016,19.542198,19.891056,19.131147,0.7599087,0.34885788,0.4110508
1360216486241613312,18.723555,18.957506,18.348705,0.6088009,0.23395157,0.37484932
1360216486241614720,19.876764,20.220982,19.511665,0.70931625,0.3442173,0.36509895
1360216486241614848,20.135431,20.420774,19.48125,0.9395237,0.28534317,0.6541805
1360216486241616128,18.610117,18.851702,18.254211,0.5974903,0.24158478,0.35590553
1360216486241616256,17.926298,18.123896,17.428173,0.6957226,0.1975975,0.49812508
1360216486241616512,20.716131,20.914854,19.602749,1.3121052,0.19872284,1.1133823
1360216486241618176,17.952023,18.218624,17.543543,0.67508125,0.26660156,0.4084797
1360216486241618304,19.26312,19.60651,18.839142,0.7673683,0.3433895,0.4239788
1360216486241618432,19.616398,19.91551,19.156036,0.7594738,0.29911232,0.46036148
1360216486241619840,19.717176,20.057053,19.365805,0.69124794,0.33987617,0.35137177
1360216486241620480,19.926163,20.19986,19.499577,0.70028305,0.2736969,0.42658615
1360216486241622400,19.615896,19.967016,19.22755,0.7394657,0.35112,0.38834572
1360216486241623808,17.456495,17.636127,16.842735,0.7933922,0.17963219,0.61376
1360216486241624192,19.557243,19.756256,19.168152,0.58810425,0.19901276,0.3890915
1360216662335116416,19.701231,19.812544,19.179598,0.632946,0.111312866,0.52163315
1360216486241625856,19.220982,20.801401,18.064537,2.736864,1.5804195,1.1564445
1360216486241810560,20.330147,20.863802,19.991734,0.8720684,0.53365517,0.33841324
1360216486241811968,20.489672,20.798117,19.976864,0.8212528,0.30844498,0.51280785
1360216486241962624,18.741,18.968325,18.386497,0.58182716,0.22732544,0.35450172
1360216486241963648,20.422333,20.670141,19.813818,0.85632324,0.24780846,0.6085148
1360216486247121152,20.928133,,,,,
1360216490536363776,20.334148,20.655157,19.88794,0.76721764,0.32100868,0.44620895
1360216490536366848,19.738655,19.860794,19.217386,0.6434078,0.12213898,0.52126884
1360216490536367232,20.842974,21.28572,21.146109,0.1396122,0.44274712,-0.30313492
1360216490536368640,20.674562,21.444092,20.357697,1.0863953,0.76952934,0.31686592
1360216490536528896,20.6603,20.85507,20.075842,0.7792282,0.19477081,0.5844574
1360216490536912896,20.890293,21.45149,20.718418,0.7330723,0.5611973,0.171875
1360216490536916480,21.089142,20.82622,20.58702,0.23919868,-0.2629223,0.502121
1360216490537145728,20.976957,20.583164,20.050325,0.5328388,-0.3937931,0.9266319
1360216490537145984,20.943216,,,,,
1360216490537793920,19.910112,,,,,
1360216490537794048,18.988287,,,,,
1360216490537794304,20.952772,,,,,
1360216490537794688,20.396736,20.434095,19.613115,0.8209801,0.037359238,0.78362083
1360216490537798912,20.259438,20.717894,19.84201,0.8758831,0.45845604,0.41742706
1360216520601362304,18.38092,18.641909,18.051958,0.58995056,0.26098824,0.32896233
1360216520601363840,18.55728,18.80409,18.180044,0.6240463,0.24681091,0.3772354
1360216520601365760,18.697031,18.863958,18.18719,0.67676926,0.16692734,0.5098419
1360216520601366144,20.014917,20.335201,19.569729,0.7654724,0.3202839,0.44518852
1360216520601366272,18.576649,18.84361,18.194727,0.6488838,0.26696205,0.38192177
1360216520601366400,18.713663,18.936583,18.386923,0.5496597,0.22291946,0.32674026
1360216520601367552,19.089508,19.382315,18.72127,0.6610451,0.29280663,0.36823845
1360216520601368448,19.497684,19.816584,19.150679,0.665905,0.31889915,0.34700584
1360216520601369344,20.322329,20.83509,19.908072,0.9270191,0.51276207,0.41425705
1360216520601372544,18.531084,18.734608,18.102154,0.6324539,0.20352364,0.42893028
1360216520601552896,20.961533,20.956411,20.981958,-0.025547028,-0.005121231,-0.020425797
1360216520601555328,19.534687,19.824583,19.110685,0.7138977,0.289896,0.4240017
1360216520601556608,20.745432,21.115864,20.22491,0.89095306,0.3704319,0.52052116
1360216520601557632,20.381405,20.467031,19.706802,0.7602291,0.0856266,0.6746025
1360216520601558528,19.96355,20.311312,19.49044,0.82087135,0.34776115,0.4731102
1360216520601704576,20.203615,20.44724,20.026493,0.42074776,0.24362564,0.17712212
1360216520606860032,20.036386,20.327137,19.710167,0.61697006,0.2907505,0.32621956
1360216520606866048,20.195396,20.539513,19.866383,0.67313004,0.3441162,0.32901382
1360216524896092928,20.435194,20.825624,19.957407,0.86821747,0.39043045,0.47778702
1360216524896094720,20.812557,21.412739,20.5338,0.8789387,0.6001816,0.2787571
1360216524896096128,20.84838,22.025366,20.178402,1.8469639,1.1769867,0.6699772
1360216524896096256,20.747557,20.284363,20.329866,-0.045503616,-0.4631939,0.41769028
1360216524896097536,20.81355,21.141754,20.36683,0.7749233,0.3282032,0.44672012
1360216524896097664,20.010622,19.964935,19.550833,0.41410255,-0.04568672,0.45978928
1360216524896100480,19.925268,,,,,
1360216524896101632,19.506443,19.750338,19.024391,0.7259464,0.24389458,0.48205185
1360216524896101888,20.004528,20.304346,19.73803,0.5663166,0.29981804,0.26649857
1360216662335116544,20.576767,,,,,
1360216524896108800,20.486212,20.861279,19.933527,0.92775154,0.37506676,0.5526848
1360216524896657408,20.990322,20.870438,20.234676,0.63576126,-0.11988449,0.75564575
1360216524896660736,20.971834,21.112528,20.568586,0.5439415,0.14069366,0.40324783
1360216524896812672,21.089378,,,,,
1360216524896814336,20.900997,21.436102,20.777836,0.65826607,0.53510475,0.123161316
1360216524896842752,21.034004,22.003635,20.78201,1.2216263,0.9696312,0.2519951
1360216524896882944,20.8158,21.082254,20.303534,0.77872086,0.2664547,0.51226616
1360216524896883072,20.939137,21.34344,20.137844,1.205595,0.4043026,0.8012924
1360216524897064960,20.990774,20.692802,20.07247,0.6203327,-0.29797173,0.91830444
1360216524897528448,19.307264,20.281727,18.29113,1.9905968,0.9744625,1.0161343
1360216524897529728,19.711786,20.27739,19.005896,1.2714939,0.56560326,0.70589066
1360216524897530624,18.628153,18.648045,18.040941,0.60710335,0.019891739,0.5872116
1360216524897531008,16.349072,16.716986,15.804695,0.9122906,0.3679142,0.5443764
1360216524897531136,19.32541,19.5106,18.929619,0.5809803,0.1851883,0.395792
1360216524898051840,19.630213,19.913363,19.277956,0.6354065,0.28314972,0.35225677
1360216554961078784,19.506529,19.859493,19.054638,0.80485535,0.3529644,0.45189095
1360216554961079808,19.740072,19.929016,19.46116,0.46785545,0.18894386,0.2789116
1360216554961080320,20.511696,21.090248,19.937967,1.1522808,0.57855225,0.57372856
1360216554961080448,19.478502,19.79616,19.166546,0.6296139,0.31765747,0.3119564
1360216554961083136,19.682278,19.87802,19.121435,0.75658417,0.19574165,0.5608425
1360216554961087104,19.450804,19.179268,18.541496,0.6377716,-0.27153587,0.9093075
1360216554961090560,19.514185,19.823656,19.10953,0.7141266,0.30947113,0.40465546
1360216554961285376,20.92595,21.964972,20.495926,1.4690456,1.0390224,0.4300232
1360216554966591872,19.699196,19.798391,19.052687,0.74570465,0.09919548,0.6465092
1360216662335119744,19.442062,19.70834,19.192808,0.51553154,0.2662773,0.24925423
1360216554966595200,20.724272,21.263203,20.167334,1.0958691,0.5389309,0.5569382
1360216559255869952,20.101185,19.738731,18.99036,0.7483711,-0.36245346,1.1108246
1360216559255882496,20.809544,21.130117,20.821976,0.3081417,0.3205738,-0.012432098
1360216559255883392,20.696606,21.138746,20.19818,0.940567,0.44214058,0.49842644
1360216559255884288,20.387497,,,,,
1360216559255887616,19.830345,19.32211,18.474632,0.84747696,-0.50823593,1.3557129
1360216559255894656,20.327671,20.586868,19.777143,0.8097248,0.25919724,0.5505276
1360216559255895936,19.130877,19.217014,18.57829,0.6387234,0.08613777,0.5525856
1360216559256011264,20.402983,21.065077,20.079384,0.985693,0.6620941,0.32359886
1360216559256012160,20.785103,,,,,
1360216559256382976,20.799551,21.190157,20.488422,0.70173454,0.39060593,0.31112862
1360216559256383488,20.907946,20.473728,19.873272,0.60045624,-0.43421745,1.0346737
