source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
4.68962998971384E+018,15.974928,16.626825,15.2017,1.4251251,0.65189743,0.7732277
4.68962998971385E+018,18.799658,18.947872,18.068058,0.87981415,0.14821434,0.7315998
4.68962998971386E+018,18.25665,18.648012,17.778015,0.869997,0.39136124,0.4786358
4.68962998971728E+018,18.664894,19.180235,17.905098,1.275137,0.5153408,0.75979614
4.68963001977089E+018,18.22921,18.557724,17.716703,0.8410206,0.3285141,0.5125065
4.68963001977089E+018,18.299112,18.646128,17.840778,0.80534935,0.34701538,0.45833397
4.68963001977089E+018,17.814926,18.121452,17.346657,0.77479553,0.30652618,0.46826935
4.6896300197709E+018,18.085758,18.424286,17.62042,0.80386543,0.33852768,0.46533775
4.68963002406428E+018,17.885483,18.202253,17.422832,0.77942085,0.31677055,0.4626503
4.68963002407355E+018,18.05222,19.039293,17.0879,1.9513931,0.9870739,0.9643192
4.68963002407356E+018,17.628014,17.932825,17.164476,0.7683487,0.30481148,0.46353722
4.68963002407356E+018,18.843727,19.208534,18.32543,0.8831043,0.36480713,0.5182972
4.68963002407357E+018,18.009953,18.337921,17.545551,0.79236984,0.3279686,0.46440125
4.68963005413063E+018,18.377375,18.71816,17.916813,0.80134773,0.34078598,0.46056175
4.68963005413064E+018,18.744406,19.05942,18.236835,0.82258415,0.3150139,0.50757027
4.68963005413064E+018,18.100237,18.450544,17.63491,0.8156338,0.35030746,0.4653263
4.68963005414349E+018,18.65299,18.994097,18.15531,0.8387871,0.3411064,0.49768066
4.68963005414349E+018,17.992086,18.313427,17.52182,0.7916069,0.32134056,0.47026634
4.6896300584333E+018,17.642878,17.974123,17.197084,0.7770386,0.33124542,0.44579315
4.68963005843332E+018,17.184303,17.480139,16.649727,0.8304119,0.2958355,0.5345764
4.68963005843332E+018,17.582687,17.917248,17.109005,0.8082428,0.3345604,0.4736824
4.68963005843333E+018,17.278244,17.602907,16.81572,0.7871876,0.32466316,0.4625244
4.68963005843333E+018,18.701704,18.899765,17.974089,0.92567635,0.19806099,0.72761536
4.68963005843333E+018,16.647026,17.076351,16.06084,1.0155106,0.4293251,0.58618546
4.68963008849038E+018,17.620523,17.940876,17.160496,0.78038025,0.32035255,0.4600277
4.68963008849039E+018,18.419441,18.79807,17.949045,0.8490257,0.37862968,0.47039604
4.68963008849039E+018,18.34737,18.700045,17.879446,0.8205986,0.35267448,0.46792412
4.68963008849039E+018,18.423927,18.835367,17.872631,0.9627361,0.4114399,0.55129623
4.6896300884904E+018,17.038752,17.397072,16.530687,0.8663845,0.35832024,0.50806427
4.68963009278373E+018,18.020182,18.350416,17.540665,0.8097515,0.33023453,0.47951698
4.68963009279301E+018,16.949013,17.638699,16.16173,1.4769688,0.6896858,0.78728294
4.68963009279301E+018,17.694181,18.010342,17.210142,0.8001995,0.3161602,0.4840393
4.68963009279301E+018,13.592279,13.939521,13.085632,0.8538885,0.3472414,0.5066471
4.68963009279649E+018,17.935015,18.275812,17.484114,0.79169846,0.34079742,0.45090103
4.68963012285011E+018,18.290081,18.643442,17.823236,0.8202057,0.35336113,0.46684456
4.68963012285054E+018,18.996653,19.454435,18.499313,0.955122,0.45778275,0.49733925
4.68963012286288E+018,18.66777,18.990402,18.145828,0.844574,0.32263184,0.52194214
4.68963012714358E+018,18.847496,19.260399,18.390062,0.87033653,0.41290283,0.4574337
4.68963012714359E+018,18.466892,18.817371,17.956356,0.8610153,0.35047913,0.5105362
4.68963012715282E+018,17.127275,17.446852,16.649792,0.79706,0.31957626,0.47748375
4.68963012715282E+018,18.388155,18.738316,17.859165,0.8791504,0.3501606,0.5289898
4.68963012715282E+018,17.779736,18.098568,17.329317,0.76925087,0.3188324,0.45041847
4.68963012715282E+018,17.155184,17.44041,16.653624,0.78678703,0.28522682,0.5015602
4.68963012715283E+018,17.929853,18.265217,17.47888,0.7863369,0.3353634,0.4509735
4.68963012715283E+018,17.28684,17.6061,16.819153,0.78694725,0.31925964,0.4676876
4.68963012715283E+018,17.826622,18.426615,17.092482,1.3341331,0.59999275,0.7341404
4.68963012715284E+018,18.100763,18.646526,17.438282,1.2082443,0.545763,0.6624813
4.68963012715284E+018,15.452147,15.915934,14.822925,1.093009,0.46378708,0.6292219
4.68963012715284E+018,17.545519,17.854479,17.094229,0.7602501,0.30895996,0.45129013
4.68963012715285E+018,18.95615,19.372728,18.467237,0.9054909,0.4165783,0.48891258
4.68963012715285E+018,17.819115,18.152834,17.361418,0.79141617,0.33371925,0.4576969
4.68963015720985E+018,18.007298,18.326788,17.529648,0.7971401,0.31949043,0.4776497
4.68963015720985E+018,18.906693,19.067747,18.048698,1.0190487,0.16105461,0.8579941
4.68963015720986E+018,17.212824,17.534916,16.758495,0.7764206,0.32209206,0.45432854
4.68963015720986E+018,18.922607,19.40401,18.44389,0.96012115,0.48140335,0.4787178
4.68963015722268E+018,18.306684,18.649353,17.799753,0.84959984,0.34266853,0.5069313
4.68963015723113E+018,18.44053,18.760195,17.965635,0.7945595,0.319664,0.47489548
4.68963015723127E+018,18.060675,18.363924,17.58675,0.777174,0.30324936,0.47392464
4.68963016150324E+018,17.739237,17.91989,17.031092,0.88879776,0.18065262,0.70814514
4.68963016150327E+018,18.582767,18.904852,18.064543,0.84030914,0.32208443,0.5182247
4.68963016150328E+018,18.020844,18.301474,17.489672,0.8118019,0.2806301,0.5311718
4.68963016151253E+018,17.763844,18.065907,17.26794,0.797966,0.302063,0.49590302
4.68963016151253E+018,17.326038,17.625715,16.8513,0.77441597,0.2996769,0.47473907
4.68963016151253E+018,18.478045,18.852993,17.934122,0.9188709,0.3749485,0.5439224
4.68963016151254E+018,15.423933,15.873094,14.810907,1.0621862,0.44916058,0.61302567
4.68963016151254E+018,17.892897,18.152712,17.367887,0.7848244,0.25981522,0.52500916
4.68963016151254E+018,17.860048,18.155338,17.390577,0.764761,0.29529,0.46947098
4.68963016151597E+018,18.931356,19.090658,18.150965,0.93969345,0.15930176,0.7803917
4.6896301915696E+018,18.069986,18.424393,17.604918,0.8194752,0.35440636,0.46506882
4.68963019157001E+018,18.542841,18.919016,18.042152,0.8768635,0.37617493,0.50068855
4.68963019158231E+018,18.667131,19.03514,18.166607,0.8685322,0.36800766,0.5005245
4.68963019158232E+018,18.378021,18.73326,17.904985,0.8282738,0.35523796,0.4730358
4.68963019158411E+018,18.92405,19.209524,18.180258,1.0292664,0.28547478,0.7437916
4.68963019587227E+018,17.713667,18.031681,17.247545,0.7841358,0.31801414,0.46612167
4.68963019587228E+018,18.971962,19.392948,18.475554,0.91739464,0.42098618,0.49640846
4.68963019587229E+018,18.43659,18.784937,17.953869,0.83106804,0.3483467,0.48272133
4.68963019587229E+018,18.257952,18.594816,17.798271,0.796545,0.33686447,0.45968056
4.6896301958723E+018,18.091742,18.429728,17.631445,0.7982826,0.337986,0.46029663
4.68963022592934E+018,18.12144,18.462692,17.67252,0.7901726,0.34125137,0.4489212
4.68963022592935E+018,18.920338,19.27167,18.311197,0.9604721,0.3513317,0.6091404
4.68963022592935E+018,18.544056,18.906437,18.01075,0.8956871,0.36238098,0.5333061
4.68963022594212E+018,18.141792,18.451324,17.66537,0.7859535,0.30953217,0.47642136
4.68963022595061E+018,18.482227,18.81012,17.966309,0.84381104,0.3278923,0.51591873
4.68963023022269E+018,18.840948,19.24912,18.338074,0.911047,0.4081726,0.5028744
4.68963023022271E+018,18.525738,18.799051,17.981947,0.81710434,0.27331352,0.5437908
4.68963023022271E+018,18.668657,18.623896,18.867664,-0.24376869,-0.044761658,-0.19900703
4.68963023023198E+018,18.178762,18.52853,17.701319,0.8272114,0.34976768,0.4774437
4.68963023023199E+018,17.29825,17.349182,16.510294,0.83888817,0.05093193,0.78795624
4.68963023023199E+018,16.93804,17.338236,16.361694,0.9765415,0.40019608,0.57634544
4.689630230232E+018,17.761236,18.06933,17.26944,0.7998905,0.30809402,0.4917965
4.689630230232E+018,16.990877,17.378408,16.447733,0.9306755,0.38753128,0.5431442
4.68963023023201E+018,17.094145,17.416424,16.609182,0.80724144,0.32227898,0.48496246
4.68963026028809E+018,18.985893,19.3403,18.382986,0.95731354,0.35440636,0.6029072
